seed,arm,conservation_ok,edge_enrichment,edge_cross_fraction,adjacent_edges,raw_contact,condition_variance,alive,role_balance
6038,construction_off,True,-0.0273857321,0.476526436,75.175,0.668280676,0,70.325,0.465787361
6038,local_construction,True,0.0324244445,0.538267422,174.1625,0.879175375,1.47804108,59.4875,0.470069474
6038,place_memory_scrambled,True,0.00871286436,0.514959026,55.95,0.744518808,2.02245483,45.425,0.460261577
6039,construction_off,True,0.0292890218,0.533559818,91.875,0.759644757,0,72.425,0.470563305
6039,local_construction,True,0.0352031977,0.539823197,87.5625,0.806821005,2.00874863,66.2,0.468567027
6039,place_memory_scrambled,True,0.0210254018,0.522489495,57.775,0.779698418,1.19811554,53.5875,0.447054193
6040,construction_off,True,-0.0655920457,0.438984874,74.075,0.623875099,0,67.4125,0.468227932
6040,local_construction,True,0.0233834258,0.531939691,74.1375,0.809656482,1.59019699,53.3,0.481196334
6040,place_memory_scrambled,True,0.0301882598,0.533948731,68.35,0.765298338,1.3121109,65.35,0.463618176
6041,construction_off,True,-0.0999245749,0.403429713,74.4375,0.588722461,0,67.3,0.46907746
6041,local_construction,True,0.00698912194,0.510524052,80.5625,0.758769429,1.32017517,66.7625,0.464368064
6041,place_memory_scrambled,True,0.0563341507,0.56231487,66.5625,0.822993109,1.58583908,61.4,0.473680977
6042,construction_off,True,-0.0275927261,0.475616752,82.35,0.694006125,0,73.7375,0.465537192
6042,local_construction,True,0.00173509908,0.506637225,126.675,0.738259639,1.68510513,61.225,0.469252622
6042,place_memory_scrambled,True,0.0695897415,0.574342116,68.6875,0.812358585,1.66053848,65.0375,0.470815345
6043,construction_off,True,0.0294759237,0.532577628,76.8125,0.765642041,0,68.35,0.460831573
6043,local_construction,True,-0.0379699709,0.470009249,72.7,0.681798406,1.1328392,53.4375,0.474486557
6043,place_memory_scrambled,True,0.0813555268,0.584666751,68.3125,0.845609853,1.93312912,64.625,0.46051557
6044,construction_off,True,-0.0844158582,0.421446262,66.35,0.59597169,0,58.4,0.468060314
6044,local_construction,True,-0.0861827079,0.401437247,69.175,0.58360025,1.71653137,33.625,0.399448702
6044,place_memory_scrambled,True,0.0543619551,0.557359769,47.6375,0.788732111,1.76001053,45.2125,0.449144806
6045,construction_off,True,-0.0335402452,0.471183486,83.725,0.672435483,0,65.75,0.467899988
6045,local_construction,True,0.0423135998,0.547523707,97.8,0.833733158,1.74794006,63.25,0.471606019
6045,place_memory_scrambled,True,0.0289234922,0.533878715,65.7,0.771697773,1.72200089,57.525,0.462608381
6046,construction_off,True,0.00308642372,0.508669416,88.35,0.720785544,0,72.975,0.481273894
6046,local_construction,True,0.020242314,0.523663764,117.125,0.809205372,3.4844986,64.325,0.461699426
6046,place_memory_scrambled,True,0.0549071773,0.556475637,64.1125,0.79459816,1.26120453,63.8125,0.451704269
6047,construction_off,True,-0.0945331962,0.410811518,81.2375,0.584329097,0,63.325,0.469941322
6047,local_construction,True,0.044381427,0.549445264,164.6875,0.906398229,2.12982788,63.7,0.469211401
6047,place_memory_scrambled,True,0.0308123605,0.53149863,46.7125,0.721686004,1.67588654,52.7,0.444481752
6048,construction_off,True,-0.0986051872,0.408241562,66.5625,0.580796983,0,66.425,0.484333227
6048,local_construction,True,0.00716503825,0.502603795,78.6875,0.742837958,3.03673935,58.6125,0.433920043
6048,place_memory_scrambled,True,0.0890488545,0.594324243,65.9,0.851706947,1.6573967,62.1875,0.468419895
6049,construction_off,True,-0.0934028071,0.411789127,62.575,0.592581988,0,60.9875,0.467239788
6049,local_construction,True,0.0443529292,0.549925349,155,0.882425155,2.20465622,69.5375,0.475957894
6049,place_memory_scrambled,True,0.0147485208,0.520119856,69.25,0.738277397,0.816228485,69.275,0.474432447
6050,construction_off,True,-0.041179959,0.464384463,80.425,0.674698682,0,69.1,0.475563631
6050,local_construction,True,0.0249429805,0.530977693,164.725,0.880351215,1.66286316,69.3375,0.480050687
6050,place_memory_scrambled,True,0.0301144585,0.534928482,62.2375,0.765570698,2.00555344,58.4875,0.462780907
6051,construction_off,True,-0.0420281869,0.463219855,77.2875,0.67135247,0,67.225,0.472361451
6051,local_construction,True,0.0302167969,0.530754176,86.6875,0.789864342,1.48522186,66.225,0.450705556
6051,place_memory_scrambled,True,0.0465215905,0.551762891,60.075,0.789548493,1.20830612,60.375,0.467392725
6052,construction_off,True,-0.0281332574,0.475645563,80.7125,0.684394965,0,68.4875,0.464091389
6052,local_construction,True,-0.0239486962,0.483158791,64.7125,0.716833642,1.88328705,56.2625,0.47412734
6052,place_memory_scrambled,True,0.000455468975,0.505267634,53.6125,0.750989793,1.85076141,44.025,0.450830589
6053,construction_off,True,-0.0847032734,0.420956749,72.7375,0.601003328,0,65.425,0.472486899
6053,local_construction,True,0.032244137,0.538019548,160.5125,0.884531671,1.3068924,66.5,0.475041837
6053,place_memory_scrambled,True,0.00641275395,0.513727154,59.35,0.716940656,1.47817688,56.4625,0.475902205
6054,construction_off,True,-0.0609627264,0.442121805,77.175,0.662375274,0,70.825,0.464840671
